sq_scan,sq_bar,sq_udise,sq_q01,sq_q02,sq_q03,sq_q04,sq_q05,sq_q06,sq_q07,sq_q08,sq_q09,sq_q10,sq_q11,sq_q12,sq_q13,sq_q14,sq_q15,sq_q16,sq_q17,sq_q18,sq_q19,sq_q20,sq_q21,sq_q22,sq_q23,sq_q24,sq_q25,sq_q26,sq_q27,sq_q28,sq_q29,sq_q30,sq_q31,sq_q32,sq_q33,sq_q34,sq_q35,sq_q36,sq_q37,sq_q38,sq_q39,sq_q40,sq_q41,sq_q42,sq_q43,sq_q44,sq_q45,sq_q46,sq_q47,sq_q48,sq_q49,sq_q50,sq_q51,sq_q52,sq_q53,sq_q54,sq_q55,sq_q56,sq_q57,sq_q58,sq_q59,sq_q60,sq_q61,sq_q62,sq_q63,sq_q64,sq_q65,sq_q66,sq_q67,sq_q68,sq_q69a,sq_q69b,sq_q69c,sq_q69d,sq_q69e,sq_q69f,sq_q69g,sq_q69h,sq_q70,sq_q71,sq_q72,sq_q73
41007001,442036769,7040323204,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,3,3,3,3,3,3,2,2,2,1,1,1,2,2,1,1,2,1,2,3,3,3,3,1,1,1,1,2,2,2,2,4,4,4,3
41007010,442005765,7040121404,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,2,3,3,3,3,3,2,3,3,2,1,1,1,1,2,2,1,1,3,3,3,3,3,2,2,1,2,1,1,1,1,1,1,3,2,1,2,4,4,2,2,2,2,2,1,2,1,1,1,4,3,4,4
41007191,442036708,7040121402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,2,1,1,1,1,2,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,2,2,1,1,4,4,4,3,2,1,1,1,1,1,1,1,4,4,4,4
41007262,442005762,7040121302,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,3,2,3,2,3,3,3,3,1,2,1,1,3,3,1,1,2,3,3,3,3,3,3,1,2,1,1,1,1,2,1,1,1,3,1,3,4,3,3,2,1,1,1,1,2,1,1,1,4,4,4,4
41007327,442005763,7040121401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,2,1,2,1,2,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,2,1,1,4,4,4,2,2,2,1,1,1,2,1,1,4,4,4,4
41007328,442036717,7040122201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,2,1,1,4,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4
41007398,442005770,7040121702,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,2,3,2,2,2,2,1,1,1,3,3,3,3,3,3,2,2,2,1,1,1,2,1,1,1,3,1,3,4,4,3,3,2,1,1,1,1,1,1,1,4,3,4,4
41007459,442036710,7040121701,1,1,2,1,2,1,1,Z,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,Z,1,3,2,3,3,3,3,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,1,1,1,1,2,4,4,3,4
41007502,442036774,7040323808,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,X,2,3,3,2,2,1,1,3,1,2,1,1,2,2,1,1,1,1,2,2,2,2,2,4,2,1,1,1,1,2,1,1,1,2,1,3,3,3,4,2,1,2,1,1,1,1,2,1,3,4,4,3
41007533,442036748,7040322501,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,2,1,3,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1,2,1,1,4,Z,3,3,1,1,1,1,2,1,2,1,4,4,4,4
41007632,442036787,7040922503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,2,1,1,1,1,1,1,1,1,1,3,4,4,4,3,2,1,1,1,1,1,2,2,4,4,4,4
41007689,442005790,7040222901,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,2,1,2,1,1,2,1,2,2,1,1,1,1,3,2,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,3,3,3,3,1,2,2,1,1,1,1,2,1,1,1,2,1,1,3,3,3,3,1,2,1,2,Z,1,1,1,3,3,3,4
41008110,442036788,7040922504,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,1,2,3,3,1,1,1,1,2,3,2,1,1,2,3,3,3,3,3,2,4,1,1,1,1,2,1,1,1,3,1,3,4,4,4,2,2,1,1,1,1,2,2,2,4,4,4,4
41008150,442005785,7040123402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,3,2,3,2,3,3,3,3,1,1,1,1,1,2,1,1,1,3,3,3,3,3,1,2,2,2,1,1,2,2,1,1,1,2,1,1,4,4,3,3,2,1,1,1,1,1,1,1,4,4,4,4
41008274,442005808,7040422101,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,1,1,1,3,2,3,1,1,2,2,3,1,2,1,2,2,3,1,1,1,3,3,3,3,3,1,2,1,1,1,1,1,2,1,1,1,1,1,2,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1
41008337,442005807,7040421801,1,1,1,1,1,X,1,1,1,1,1,1,1,1,1,1,2,X,1,1,1,1,1,2,1,1,1,2,3,2,3,2,3,2,3,3,1,1,1,1,1,2,1,1,1,3,3,3,X,3,2,2,2,2,1,1,1,2,1,1,2,2,1,2,4,4,4,4,1,1,1,1,1,1,2,1,4,4,4,4
41008403,442005803,7040421402,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,X,2,2,1,1,1,2,1,1,1,1,3,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,1,3,3,3,3,3,2,2,1,4,2,2,1,2,2,2,4,1,1,2,3,4,3,3,1,1,2,1,2,1,1,1,4,4,3,2
41008404,442005802,7040421007,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,3,1,3,1,1,1,2,3,1,2,2,1,2,2,1,1,1,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,2,1,1,1,2,1,1,1,4,4,4,4
41008464,442036776,7040323810,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,1,1,4,4,4,3,4,2,1,1,1,1,1,1,1,4,4,4,4
41008613,442036754,7040322601,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,1,1,1,1,1,1,1,4,4,4,4
41008699,442048185,7040423104,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,3,1,3,1,3,3,3,2,2,2,2,1,2,2,2,2,1,3,3,3,2,3,3,2,4,1,1,1,1,2,1,1,1,2,1,3,2,2,2,3,2,1,1,1,2,1,1,1,4,3,4,4
41008704,442005781,7040122702,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,3,3,3,3,3,2,1,3,2,2,2,2,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,1,1,3,4,4,4,4,2,1,1,2,1,1,1,1,4,4,3,4
41008707,442005813,7040423602,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,3,3,2,3,3,3,3,1,1,1,1,2,1,1,1,1,3,3,3,3,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,4,4,3,3,1,1,1,1,1,2,1,2,4,4,4,4
41008771,442036721,7040122903,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,Z,1,1,1,2,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,2,2,1,2,4,4,4,4,2,1,1,2,1,1,2,2,4,4,4,4
41008894,442036766,7040322908,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,3,2,3,2,3,2,2,1,1,1,1,1,2,1,1,1,2,1,3,3,4,4,2,2,1,1,1,1,2,2,2,4,4,3,4
41008925,442036726,7040223404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,2,1,1,1,1,1,1,2,1,1,1,1,1,3,2,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,1,1,3,4,3,3,3,2,1,1,1,1,1,2,2,4,3,4,4
41009084,442036751,7040322504,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,2,1,2,4,4,4,4,2,1,1,1,1,2,2,2,4,4,3,4
41009153,442036752,7040322507,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,3,3,3,3,1,1,1,1,2,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,2,1,4,4,4,4,4,2,1,1,1,1,1,1,1,4,4,4,4
41009275,442036713,7040121902,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,3,1,1,2,3,2,1,3,2,2,3,3,2,2,1,3,3,3,2,2,2,2,2,3,2,1,2,1,1,1,3,3,2,3,3,3,2,1,2,1,1,1,1,1,1,1,4,3,2,4
41009400,442005767,7040121502,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,1,1,1,1,1,2,2,4,4,4,4
41009434,442036716,7040122001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,2,1,1,4,4,4,4,2,1,1,1,1,1,1,1,4,4,4,4
41009588,442005784,7040123301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,2,3,1,2,3,3,3,2,2,2,1,2,3,1,2,1,3,3,3,3,3,2,2,2,1,1,2,1,2,1,1,2,3,1,1,4,3,3,3,2,1,1,1,1,2,1,2,4,4,4,4
41009594,442036770,7040323604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,2,3,3,3,3,3,3,1,2,1,1,1,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,2,2,4,4,4,4,4,1,1,1,1,2,2,2,2,4,4,4,4
41009595,442005783,7040123103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Z,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,2,1,1,4,4,4,4,2,1,1,1,1,1,1,1,4,3,4,4
41009720,442036768,7040323105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,2,2,2,1,1,1,1,1,2,2,4,4,4,4
41009773,442036741,7040321801,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,2,3,3,3,3,2,2,1,1,1,1,1,2,1,1,1,2,1,1,4,4,4,3,1,1,1,1,1,1,1,1,4,4,4,4
41009815,442036709,7040121505,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,3,3,3,1,1,1,1,2,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,1,1,1,4,4,3,3,1,1,1,1,1,1,1,2,4,4,4,4
41009846,442036740,7040321610,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,1,1,2,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,1,1,1,1,1,1,1,1,4,4,4,4
41009847,442036738,7040321607,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,3,3,2,2,3,3,3,1,1,1,1,2,3,1,1,1,2,3,3,2,3,3,2,2,1,1,1,1,2,2,1,1,3,1,3,3,2,3,3,2,1,1,1,1,1,2,1,4,4,4,4
41010035,442036739,7040321608,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,2,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,2,4,4,3,4,4,1,1,1,2,2,2,2,2,4,4,4,4
41010096,442036765,7040322901,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,2,2,1,2,2,1,3,4,4,3,2,1,1,1,1,1,2,2,2,4,4,4,1
41010166,442036735,7040321602,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,2,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,2,1,2,4,4,4,3,1,1,1,1,1,1,1,1,4,4,4,4
41010205,442036734,7040321506,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,3,3,3,3,2,3,3,1,1,1,1,2,2,1,1,2,3,3,3,2,3,3,2,1,1,1,1,1,2,2,1,2,2,1,1,3,3,2,2,2,1,1,1,1,1,2,2,4,3,4,4
41010206,442036733,7040321504,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,2,1,1,2,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,2,1,3,4,4,2,2,1,1,1,2,2,2,2,2,4,4,3,4
41010211,442036747,7040322303,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,2,1,1,2,2,2,1,1,3,3,3,2,3,2,2,1,1,1,1,1,2,2,1,1,2,2,3,3,3,3,3,1,1,1,1,1,1,2,1,4,4,4,4
41010335,442005810,7040422802,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,3,2,3,3,3,3,3,3,2,1,2,2,2,2,2,1,1,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,3,2,1,2,4,4,4,4,1,1,1,1,1,1,1,1,4,3,4,4
41010336,442036725,7040222902,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,1,3,2,2,3,2,3,1,1,2,2,2,2,2,2,2,2,1,2,3,2,3,2,2,2,2,2,1,1,1,1,2,1,1,1,1,3,3,3,4,3,2,1,1,1,1,1,1,1,1,4,3,4,4
41010426,442005800,7040322510,1,1,1,1,2,1,X,X,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,3,2,3,3,3,1,2,1,1,1,1,1,2,1,1,1,2,1,3,3,3,3,3,1,1,1,1,1,2,1,2,4,4,4,4
41010640,442036728,7040320905,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,2,3,3,3,3,2,1,1,1,1,1,2,2,1,1,2,2,4,4,4,4,4,1,1,1,1,2,2,2,2,4,4,4,4
41010642,442036744,7040322008,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,2,2,1,3,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,2,1,2,3,4,3,3,1,1,1,2,2,2,2,2,4,4,4,4
41010678,442036743,7040322003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,1,1,3,4,4,4,4,2,1,1,2,1,1,2,2,4,4,4,4
41010838,442036783,7040622301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,Z,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,3,4,3,3,2,1,1,1,1,2,2,2,2,4,4,4,4
41010857,442036782,7040621902,1,1,2,1,2,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,1,1,2,2,1,1,2,1,3,2,3,2,2,3,1,3,2,2,1,1,1,2,1,1,1,1,3,3,1,2,2,4,1,1,1,1,1,2,1,1,1,2,1,X,3,4,3,3,1,1,1,1,2,1,2,1,4,4,4,4
41010981,442005822,7040523704,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,X,3,2,3,3,3,2,3,3,1,2,1,1,1,2,1,1,1,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,3,1,1,1,1,1,2,2,2,4,4,4,4
41011009,442036781,7040621205,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,1,2,1,1,2,1,1,1,2,1,3,3,3,3,3,3,1,2,1,2,1,1,1,1,1,1,1,2,3,3,2,3,3,4,2,1,1,1,1,2,1,1,1,2,2,4,2,3,2,2,2,2,2,1,2,1,2,1,4,3,4,4
41011010,442005768,7040121503,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,2,1,2,1,1,1,1,1,1,2,1,1,2,4,X,4,4,1,1,1,1,1,1,1,1,4,4,4,4
41011094,442005792,7040223201,1,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,2,X,2,2,3,3,3,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,3,3,2,2,1,1,2,1,1,2,2,1,4,2,3,2,2,2,2,1,1,1,1,1,1,4,3,3,4
41011164,442005793,7040223401,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,3,1,3,1,1,1,1,2,2,2,2,2,3,1,2,1,2,3,2,3,2,3,2,2,2,2,1,1,1,2,1,1,2,2,2,3,2,2,2,2,1,1,1,1,2,1,1,1,4,4,4,4
41011165,442005758,7040120902,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,1,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,2,1,3,3,3,3,3,2,2,2,1,1,1,1,1,3,3,3,4
41011273,442005788,7040123805,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,1,1,2,1,2,2,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,2,1,2,4,4,3,3,1,1,1,1,1,1,1,1,4,4,4,4
41011325,442036723,7040123704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,1,2,3,3,2,2,3,1,1,3,2,3,3,2,3,2,2,2,1,1,1,1,2,1,1,2,1,1,4,3,2,2,1,1,1,1,1,1,1,2,4,4,2,4
41011326,442005809,7040422301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,3,3,3,2,2,3,2,2,2,2,1,1,1,1,1,1,1,2,3,3,3,3,2,2,2,1,1,1,1,2,1,1,1,2,1,2,4,X,3,3,1,1,1,1,1,1,1,1,4,4,4,4
41011394,442005787,7040123801,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,2,3,3,3,2,3,2,2,3,2,3,3,1,3,2,3,2,3,2,2,1,2,1,1,1,2,1,1,1,3,1,2,3,3,2,1,2,2,2,1,1,1,1,2,4,4,Z,4
41011460,442005779,7040122601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,2,2,2,3,3,3,1,1,1,1,1,1,1,1,1,3,2,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,2,3,4,4,4,4,1,1,1,1,2,1,1,2,4,4,4,4
41011585,442005759,7040120903,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,3,3,3,3,2,1,1,1,1,2,1,1,1,3,3,3,3,3,1,2,1,1,1,1,1,2,1,1,1,2,1,3,4,4,3,2,1,2,1,1,2,1,1,1,4,4,3,4
41011591,442005815,7040423701,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,3,3,3,3,3,3,3,3,2,1,1,1,1,3,1,1,1,3,3,3,3,3,2,2,1,1,1,1,1,2,1,1,1,2,1,1,4,4,4,4,1,1,1,1,2,1,1,1,4,4,4,4
41011670,442005775,7040122301,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,3,3,3,3,3,1,2,1,1,1,1,1,2,1,1,1,2,1,2,4,4,4,4,1,1,1,1,2,1,1,1,4,4,4,4
41011671,442036718,7040122302,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,2,2,3,1,2,2,1,2,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,1,1,3,4,4,4,4,1,1,1,1,1,1,2,2,4,4,3,4
41011767,442036714,7040121905,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,1,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,2,2,2,1,1,1,1,2,4,4,4,4
41011863,442005772,7040121907,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,3,3,3,2,3,3,3,3,1,1,1,1,1,1,2,1,1,3,2,3,3,3,3,2,2,1,1,1,1,2,1,1,1,2,1,3,4,4,3,3,1,1,1,1,2,1,1,2,1,2,1,1
41011902,442036784,7040623501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,1,1,1,1,2,2,1,1,1,1,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1,2,1,4,4,2,2,2,1,1,1,1,1,1,2,1,4,2,4,4
41012060,442036756,7040322604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2,2,1,1,1,1,2,1,1,1,1,1,3,4,4,4,3,1,2,2,2,1,1,2,2,4,4,4,4
41012061,442036761,7040322806,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,2,1,1,2,2,2,2,2,4,4,4,4
41012186,442036762,7040322807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,1,2,1,1,2,1,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,1,1,3,4,4,3,3,1,1,1,2,2,2,2,2,4,4,4,4
41012256,442036763,7040322810,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,3,3,3,1,1,1,1,1,2,1,1,1,3,3,3,3,3,3,2,1,1,1,1,1,2,1,1,1,2,1,4,4,4,4,3,2,1,1,1,2,2,1,1,4,4,4,4
